4|000000000000000000000000000000000000000000000000000000|25
1|000000000000000000000000000000000000000000000000000000|27
2|000000000000000000000000000000000000000000000000000000|26
3|000000000000000000000000000000000000000000000000000000|28
3|000000000000000000000000000010000000000000000000000000|8
2|000000000000000000000000001000000000000000000000000000|30
1|000000000000000000000000000100000000000000000000000000|10
4|000000000000000000000000010000000000000000000000000000|17
4|000000000000000000000000000000000000000000000000000000|26
1|000000000000000000000000000000000000000000000000000000|25
2|000000000000000000000000000000000000000000000000000000|27
3|000000000000000000000000000000000000000000000000000000|24
3|000000000000000000000000100000000000000000000000000000|22
2|000000000000000000000000000100000000000000000000000000|12
1|000000000000000000000000010000000000000000000000000000|42
4|000000000000000000000000001000000000000000000000000000|15
3|000000000000000000000000000000000000000000000000000000|26
4|000000000000000000000000000000000000000000000000000000|27
1|000000000000000000000000000000000000000000000000000000|24
2|000000000000000000000000000000000000000000000000000000|22
2|000000000000000000000010000000000000000000000000000000|42
1|000000000000000000000000100000000000000000000000000000|41
4|000000000000000000000000000100000000000000000000000000|13
3|000000000000000000000000001000000000000000000000000000|49
2|000000000000000000000000000000000000000000000000000000|27
3|000000000000000000000000000000000000000000000000000000|23
4|000000000000000000000000000000000000000000000000000000|26
1|000000000000000000000000000000000000000000000000000000|25
1|000000000000000000000000010000000000000000000000000000|8
4|000000000000000000000000001000000000000000000000000000|41
3|000000000000000000000001000000000000000000000000000000|38
2|000000000000000000000000000100000000000000000000000000|16
2|000000000000000000000000000000000000000000000000000000|27
3|000000000000000000000000000000000000000000000000000000|26
4|000000000000000000000000000000000000000000000000000000|25
1|000000000000000000000000000000000000000000000000000000|23
1|000000000000000000000001000000000000000000000000000000|39
4|000000000000000000000000010000000000000000000000000000|48
3|000000000000000000000000001000000000000000000000000000|11
2|000000000000000000000000000100000000000000000000000000|13
1|000000000000000000000000000000000000000000000000000000|26
4|000000000000000000000000000000000000000000000000000000|27
1|000000000000000000000000000000000000000000000000000000|26
2|000000000000000000000000000000000000000000000000000000|23
3|000000000000000000000000000000000000000000000000000000|24
3|000000000000000000000000100000000000000000000000000000|12
2|000000000000000000000001000000000000000000000000000000|31
1|000000000000000000000000001000000000000000000000000000|9
4|000000000000000000000000000100000000000000000000000000|15
W|000000000000000000000000000000000000000000000000000000|19
