W|19|111|1
W|6|110|2
W|6|100|1
W|24|010|2
W|25|100|1
W|25|011|2
W|2|100|1
W|31|100|1
W|13|011|3
W|30|100|1
W|15|110|1
Y|9|111|3
Y|17|111|2
Y|28|100|1
Y|9|110|1
Y|14|011|2
Y|34|100|1
Y|39|100|1
Y|9|010|2
Y|13|101|3
Y|1|010|2
Y|17|101|1
Y|28|010|2
Y|23|110|1
Y|14|001|3
Y|29|110|2
X|41|111|3
X|17|111|3
X|46|011|3
X|41|110|1
X|18|010|2
X|46|010|2
X|18|101|3
X|30|001|3
X|17|110|2
X|2|110|1
X|44|111|2
X|2|010|2
X|44|101|1
X|45|100|1
X|45|011|3
X|45|010|2
X|43|010|2
X|47|100|1
X|41|101|1
X|48|100|1
X|10|100|1
X|30|001|3
X|35|011|2
X|35|001|3
Z|27|110|1
Z|10|111|2
Z|16|010|2
Z|10|101|3
Z|16|101|3
Z|6|010|2
Z|22|001|3
Z|19|100|1
Z|19|011|2
Z|15|010|2
Z|24|101|1
Z|28|011|3
Z|28|010|2
Z|27|010|2
Z|20|011|3
Y|8|111|3
Y|43|111|2
Y|8|110|1
Y|4|110|2
Y|12|010|2
Y|1|010|2
Y|17|100|1
Y|38|100|1
Y|9|101|3
Y|4|100|1
Y|7|001|3
Y|9|111|3
Y|31|111|1
Y|9|110|1
Y|14|011|3
Y|25|110|1
Y|14|010|2
Y|9|010|2
Y|2|100|1
Y|52|010|2
Y|10|101|1
Y|45|100|1
Z|33|111|1
Z|41|111|3
Z|50|100|1
Z|27|100|1
Z|50|010|2
Z|28|010|2
Z|28|101|3
Z|42|010|2
Z|29|010|2
Z|38|100|1
Z|16|010|2
Z|35|100|1
Z|28|100|1
Z|38|010|2
Z|39|010|2
