Y|000000000000000000000000000000000000000000000000000000|31
Y|000000000000000000000000000000010000000000000000000000|2
Y|001000000000000000000000000000010000000000000000000000|19
Y|000000000000000000000000000000000000000000000000000000|15
Y|000000000000000100000000000000000000000000000000000000|34
Y|000000000000000100000000000000000010000000000000000000|19
Y|000000000000000100010000000000000010000000000000000000|35
W|000000000000000000000000000000000000000000000000000000|17
W|000000000000000001000000000000000000000000000000000000|41
W|000000000000000001000000000000000000000001000000000000|9
W|000000000100000001000000000000000000000001000000000000|8
W|000000001100000001000000000000000000000001000000000000|37
X|000000000000000000000000000000000000000000000000000000|49
X|000000000000000000000000000000000000000000000000010000|24
X|000000000000000000000000000000000000000000000000000000|44
X|000000000000000000000000000000000000000000001000000000|3
X|000100000000000000000000000000000000000000001000000000|4
X|000000000000000000000000000000000000000000000000000000|34
X|000000000000000000000000000000000010000000000000000000|30
X|000000000000000000000000000000100010000000000000000000|44
X|000000000000000000000000000000100010000000001000000000|43
W|000000000000000000000000000000000000000000000000000000|37
W|000000000000000000000000000000000000010000000000000000|4
W|000010000000000000000000000000000000010000000000000000|26
X|000000000000000000000000000000000000000000000000000000|22
X|000000000000000000000010000000000000000000000000000000|18
X|000000000000000000100010000000000000000000000000000000|21
X|000000000000000000100110000000000000000000000000000000|8
X|000000001000000000100110000000000000000000000000000000|43
W|000000000000000000000000000000000000000000000000000000|36
W|000000000000000000000000000000000000100000000000000000|50
W|000000000000000000000000000000000000100000000000001000|35
W|000000000000000000000000000000000001100000000000001000|49
X|000000000000000000000000000000000000000000000000000000|38
X|000000000000000000000000000000000000001000000000000000|7
X|000000010000000000000000000000000000001000000000000000|22
X|000000010000000000000010000000000000001000000000000000|29
X|000000000000000000000000000000000000000000000000000000|29
X|000000000000000000000000000001000000000000000000000000|39
X|000000000000000000000000000001000000000100000000000000|18
X|000000000000000000100000000001000000000100000000000000|19
X|000000000000000000110000000001000000000100000000000000|9
X|000000000000000000000000000000000000000000000000000000|29
X|000000000000000000000000000001000000000000000000000000|42
X|000000000000000000000000000001000000000000100000000000|39
X|000000000000000000000000000001000000000100100000000000|24
X|000000000000000000000000100001000000000100100000000000|47
Y|000000000000000000000000000000000000000000000000000000|36
Y|000000000000000000000000000000000000100000000000000000|8
Y|000000001000000000000000000000000000100000000000000000|11
Y|000000001001000000000000000000000000100000000000000000|0
Y|100000001001000000000000000000000000100000000000000000|45
Y|000000000000000000000000000000000000000000000000000000|32
Y|000000000000000000000000000000001000000000000000000000|10
Y|000000000000000000000000000000000000000000000000000000|30
Y|000000000000000000000000000000100000000000000000000000|19
Y|000000000000000000000000000000000000000000000000000000|53
Y|000000000000000000000000000000000000000000000000000001|16
Y|000000000000000000000000000000000000000000000000000000|40
Y|000000000000000000000000000000000000000010000000000000|28
Y|000000000000000000000000000010000000000010000000000000|7
W|000000000000000000000000000000000000000000000000000000|49
W|000000000000000000000000000000000000000000000000010000|12
W|000000000000100000000000000000000000000000000000010000|0
W|000000000000000000000000000000000000000000000000000000|36
W|000000000000000000000000000000000000100000000000000000|10
Y|000000000000000000000000000000000000000000000000000000|0
Y|100000000000000000000000000000000000000000000000000000|9
Y|100000000100000000000000000000000000000000000000000000|25
Y|100000000100000000000000010000000000000000000000000000|36
Y|100000000100000000000000010000000000100000000000000000|8
W|000000000000000000000000000000000000000000000000000000|22
W|000000000000000000000010000000000000000000000000000000|43
W|000000000000000000000010000000000000000000010000000000|12
W|000000000000000000000000000000000000000000000000000000|10
W|000000000010000000000000000000000000000000000000000000|4
W|000010000010000000000000000000000000000000000000000000|5
W|000000000000000000000000000000000000000000000000000000|1
W|010000000000000000000000000000000000000000000000000000|30
W|010000000000000000000000000000100000000000000000000000|26
W|000000000000000000000000000000000000000000000000000000|40
W|000000000000000000000000000000000000000010000000000000|38
W|000000000000000000000000000000000000001010000000000000|30
W|000000000000000000000000000000100000001010000000000000|49
W|000000000000000000000000000000000000000000000000000000|44
W|000000000000000000000000000000000000000000001000000000|14
W|000000000000001000000000000000000000000000001000000000|15
W|000000000000001100000000000000000000000000001000000000|1
W|010000000000001100000000000000000000000000001000000000|6
X|000000000000000000000000000000000000000000000000000000|39
X|000000000000000000000000000000000000000100000000000000|32
X|000000000000000000000000000000001000000100000000000000|31
X|000000000000000000000000000000011000000100000000000000|14
X|000000000000001000000000000000011000000100000000000000|15
W|000000000000000000000000000000000000000000000000000000|53
W|000000000000000000000000000000000000000000000000000001|23
W|000000000000000000000001000000000000000000000000000001|52
W|000000000000000000000001000000000000000000000000000011|9
W|000000000100000000000001000000000000000000000000000011|8
W|000000000000000000000000000000000000000000000000000000|35
W|000000000000000000000000000000000001000000000000000000|50
W|000000000000000000000000000000000001000000000000001000|36
W|000000000000000000000000000000000001100000000000001000|24
W|000000000000000000000000100000000001100000000000001000|49
X|000000000000000000000000000000000000000000000000000000|48
X|000000000000000000000000000000000000000000000000100000|32
X|000000000000000000000000000000001000000000000000100000|47
X|000000000000000000000000000000001000000000000001100000|45
W|000000000000000000000000000000000000000000000000000000|2
W|001000000000000000000000000000000000000000000000000000|27
W|001000000000000000000000000100000000000000000000000000|39
Y|000000000000000000000000000000000000000000000000000000|42
Y|000000000000000000000000000000000000000000100000000000|39
Y|000000000000000000000000000000000000000100100000000000|41
Y|000000000000000000000000000000000000000101100000000000|28
Y|000000000000000000000000000010000000000101100000000000|40
Y|000000000000000000000000000000000000000000000000000000|42
Y|000000000000000000000000000000000000000000100000000000|35
Y|000000000000000000000000000000000001000000100000000000|17
Y|000000000000000001000000000000000001000000100000000000|41
Y|000000000000000000000000000000000000000000000000000000|7
Y|000000010000000000000000000000000000000000000000000000|21
Y|000000010000000000000100000000000000000000000000000000|0
Y|100000010000000000000100000000000000000000000000000000|38
Y|100000010000000000000100000000000000001000000000000000|28
W|000000000000000000000000000000000000000000000000000000|39
W|000000000000000000000000000000000000000100000000000000|50
W|000000000000000000000000000000000000000000000000000000|17
W|000000000000000001000000000000000000000000000000000000|25
W|000000000000000000000000000000000000000000000000000000|4
W|000010000000000000000000000000000000000000000000000000|51
W|000010000000000000000000000000000000000000000000000100|2
W|001010000000000000000000000000000000000000000000000100|13
Y|000000000000000000000000000000000000000000000000000000|18
Y|000000000000000000100000000000000000000000000000000000|49
Y|000000000000000000100000000000000000000000000000010000|48
X|000000000000000000000000000000000000000000000000000000|6
X|000000100000000000000000000000000000000000000000000000|34
X|000000100000000000000000000000000010000000000000000000|1
X|010000100000000000000000000000000010000000000000000000|9
X|010000100100000000000000000000000010000000000000000000|22
W|000000000000000000000000000000000000000000000000000000|48
W|000000000000000000000000000000000000000000000000100000|25
W|000000000000000000000000010000000000000000000000100000|35
W|000000000000000000000000010000000001000000000000100000|26
Y|000000000000000000000000000000000000000000000000000000|28
Y|000000000000000000000000000010000000000000000000000000|6
Y|000000100000000000000000000010000000000000000000000000|5
Y|000001100000000000000000000010000000000000000000000000|21
Y|000001100000000000000100000010000000000000000000000000|25
Z|000000000000000000000000000000000000000000000000000000|17
Z|000000000000000001000000000000000000000000000000000000|51
Y|000000000000000000000000000000000000000000000000000000|6
Y|000000100000000000000000000000000000000000000000000000|34
Y|000000100000000000000000000000000010000000000000000000|17
Y|000000100000000001000000000000000010000000000000000000|14
Y|000000100000001001000000000000000010000000000000000000|26
Z|000000000000000000000000000000000000000000000000000000|21
Z|000000000000000000000100000000000000000000000000000000|40
X|000000000000000000000000000000000000000000000000000000|9
X|000000000100000000000000000000000000000000000000000000|47
X|000000000000000000000000000000000000000000000000000000|3
X|000100000000000000000000000000000000000000000000000000|15
X|000100000000000100000000000000000000000000000000000000|4
X|000000000000000000000000000000000000000000000000000000|11
X|000000000001000000000000000000000000000000000000000000|31
X|000000000001000000000000000000010000000000000000000000|19
X|000000000000000000000000000000000000000000000000000000|22
X|000000000000000000000010000000000000000000000000000000|18
X|000000000000000000000000000000000000000000000000000000|22
X|000000000000000000000010000000000000000000000000000000|25
X|000000000000000000000010010000000000000000000000000000|33
Y|000000000000000000000000000000000000000000000000000000|8
Y|000000001000000000000000000000000000000000000000000000|35
Y|000000001000000000000000000000000001000000000000000000|43
Y|000000001000000000000000000000000001000000010000000000|18
Y|000000001000000000100000000000000001000000010000000000|51
W|000000000000000000000000000000000000000000000000000000|52
W|000000000000000000000000000000000000000000000000000010|4
W|000010000000000000000000000000000000000000000000000010|3
W|000110000000000000000000000000000000000000000000000010|44
X|000000000000000000000000000000000000000000000000000000|43
X|000000000000000000000000000000000000000000010000000000|4
X|000010000000000000000000000000000000000000010000000000|2
X|001010000000000000000000000000000000000000010000000000|27
Z|000000000000000000000000000000000000000000000000000000|6
Z|000000100000000000000000000000000000000000000000000000|32
Z|000000100000000000000000000000001000000000000000000000|42
Z|000000100000000000000000000000001000000000100000000000|15
Z|000000100000000100000000000000001000000000100000000000|50
W|000000000000000000000000000000000000000000000000000000|26
W|000000000000000000000000001000000000000000000000000000|17
W|000000000000000001000000001000000000000000000000000000|15
W|000000000000000101000000001000000000000000000000000000|19
Y|000000000000000000000000000000000000000000000000000000|4
Y|000010000000000000000000000000000000000000000000000000|3
Y|000110000000000000000000000000000000000000000000000000|22
Y|000110000000000000000010000000000000000000000000000000|14
X|000000000000000000000000000000000000000000000000000000|3
X|000100000000000000000000000000000000000000000000000000|37
X|000100000000000000000000000000000000010000000000000000|30
X|000100000000000000000000000000100000010000000000000000|25
X|000100000000000000000000010000100000010000000000000000|41
Y|000000000000000000000000000000000000000000000000000000|40
Y|000000000000000000000000000000000000000010000000000000|9
Y|000000000100000000000000000000000000000010000000000000|10
Y|000000000110000000000000000000000000000010000000000000|41
X|000000000000000000000000000000000000000000000000000000|7
X|000000010000000000000000000000000000000000000000000000|13
X|000000010000010000000000000000000000000000000000000000|5
X|000001010000010000000000000000000000000000000000000000|0
X|100001010000010000000000000000000000000000000000000000|14
Y|000000000000000000000000000000000000000000000000000000|24
Y|000000000000000000000000100000000000000000000000000000|11
Y|000000000001000000000000100000000000000000000000000000|0
Y|100000000001000000000000100000000000000000000000000000|9
X|000000000000000000000000000000000000000000000000000000|12
X|000000000000100000000000000000000000000000000000000000|38
X|000000000000000000000000000000000000000000000000000000|40
X|000000000000000000000000000000000000000010000000000000|23
X|000000000000000000000001000000000000000010000000000000|39
X|000000000000000000000001000000000000000110000000000000|22
X|000000000000000000000011000000000000000110000000000000|24
X|000000000000000000000000000000000000000000000000000000|15
X|000000000000000100000000000000000000000000000000000000|33
X|000000000000000100000000000000000100000000000000000000|22
X|000000000000000100000010000000000100000000000000000000|26
X|000000000000000100000010001000000100000000000000000000|14
Z|000000000000000000000000000000000000000000000000000000|44
Z|000000000000000000000000000000000000000000001000000000|23
Z|000000000000000000000001000000000000000000001000000000|35
Z|000000000000000000000001000000000001000000001000000000|49
Y|000000000000000000000000000000000000000000000000000000|8
Y|000000001000000000000000000000000000000000000000000000|35
Y|000000001000000000000000000000000001000000000000000000|44
